time_id,order_date,year,month,month_name,quarter,day
132,2003-03-26,2003,3,March,1,26
133,2004-02-02,2004,2,February,1,2
134,2004-02-21,2004,2,February,1,21
135,2003-01-31,2003,1,January,1,31
136,2004-03-15,2004,3,March,1,15
137,2005-01-26,2005,1,January,1,26
138,2003-10-11,2003,10,October,4,11
139,2004-01-16,2004,1,January,1,16
140,2005-02-08,2005,2,February,1,8
141,2004-12-01,2004,12,December,4,1
142,2005-03-23,2005,3,March,1,23
143,2005-02-09,2005,2,February,1,9
144,2003-04-04,2003,4,April,2,4
145,2003-08-01,2003,8,August,3,1
146,2003-09-21,2003,9,September,3,21
147,2004-02-10,2004,2,February,1,10
148,2005-05-03,2005,5,May,2,3
149,2004-04-12,2004,4,April,2,12
150,2004-08-04,2004,8,August,3,4
151,2005-04-14,2005,4,April,2,14
152,2003-03-10,2003,3,March,1,10
153,2003-07-04,2003,7,July,3,4
154,2003-09-11,2003,9,September,3,11
155,2003-10-17,2003,10,October,4,17
156,2003-11-05,2003,11,November,4,5
157,2004-04-13,2004,4,April,2,13
158,2004-08-06,2004,8,August,3,6
159,2003-10-05,2003,10,October,4,5
160,2004-11-17,2004,11,November,4,17
161,2004-12-09,2004,12,December,4,9
162,2005-01-07,2005,1,January,1,7
163,2005-03-04,2005,3,March,1,4
164,2005-04-15,2005,4,April,2,15
165,2003-01-10,2003,1,January,1,10
166,2003-03-25,2003,3,March,1,25
167,2003-05-21,2003,5,May,2,21
168,2003-07-16,2003,7,July,3,16
169,2003-09-12,2003,9,September,3,12
170,2003-10-18,2003,10,October,4,18
171,2003-11-21,2003,11,November,4,21
172,2003-12-03,2003,12,December,4,3
173,2004-03-02,2004,3,March,1,2
174,2004-04-29,2004,4,April,2,29
175,2004-06-08,2004,6,June,2,8
176,2004-09-03,2004,9,September,3,3
177,2005-02-16,2005,2,February,1,16
178,2005-05-30,2005,5,May,2,30
179,2003-03-18,2003,3,March,1,18
180,2003-05-20,2003,5,May,2,20
181,2003-07-10,2003,7,July,3,10
182,2004-02-26,2004,2,February,1,26
183,2004-09-01,2004,9,September,3,1
184,2005-01-12,2005,1,January,1,12
185,2005-02-10,2005,2,February,1,10
186,2005-04-22,2005,4,April,2,22
187,2003-02-17,2003,2,February,1,17
188,2003-06-16,2003,6,June,2,16
189,2003-11-27,2003,11,November,4,27
190,2004-05-11,2004,5,May,2,11
191,2004-06-24,2004,6,June,2,24
192,2004-08-21,2004,8,August,3,21
193,2004-09-15,2004,9,September,3,15
194,2004-11-10,2004,11,November,4,10
195,2004-11-22,2004,11,November,4,22
196,2004-12-03,2004,12,December,4,3
197,2005-03-01,2005,3,March,1,1
198,2005-03-30,2005,3,March,1,30
199,2005-05-10,2005,5,May,2,10
200,2003-01-06,2003,1,January,1,6
201,2004-01-26,2004,1,January,1,26
202,2004-11-25,2004,11,November,4,25
203,2005-05-29,2005,5,May,2,29
204,2005-01-10,2005,1,January,1,10
205,2004-10-06,2004,10,October,4,6
206,2005-02-22,2005,2,February,1,22
207,2003-01-09,2003,1,January,1,9
208,2004-04-26,2004,4,April,2,26
209,2005-04-23,2005,4,April,2,23
210,2003-06-27,2003,6,June,2,27
211,2004-04-02,2004,4,April,2,2
212,2004-09-16,2004,9,September,3,16
213,2004-12-04,2004,12,December,4,4
214,2005-04-03,2005,4,April,2,3
215,2004-06-04,2004,6,June,2,4
216,2004-06-14,2004,6,June,2,14
217,2004-07-16,2004,7,July,3,16
218,2005-03-10,2005,3,March,1,10
219,2003-06-06,2003,6,June,2,6
220,2003-11-07,2003,11,November,4,7
221,2004-02-18,2004,2,February,1,18
222,2004-03-20,2004,3,March,1,20
223,2005-03-15,2005,3,March,1,15
224,2004-11-09,2004,11,November,4,9
225,2004-05-26,2004,5,May,2,26
226,2004-07-02,2004,7,July,3,2
227,2004-09-07,2004,9,September,3,7
228,2004-11-16,2004,11,November,4,16
229,2004-12-07,2004,12,December,4,7
230,2003-09-03,2003,9,September,3,3
231,2004-06-30,2004,6,June,2,30
232,2004-08-28,2004,8,August,3,28
233,2004-05-08,2004,5,May,2,8
234,2004-11-12,2004,11,November,4,12
235,2005-05-09,2005,5,May,2,9
236,2003-09-25,2003,9,September,3,25
237,2004-01-22,2004,1,January,1,22
238,2004-10-29,2004,10,October,4,29
239,2004-07-07,2004,7,July,3,7
240,2004-08-09,2004,8,August,3,9
241,2003-11-19,2003,11,November,4,19
242,2005-01-19,2005,1,January,1,19
243,2003-10-02,2003,10,October,4,2
244,2004-03-29,2004,3,March,1,29
245,2005-02-28,2005,2,February,1,28
246,2004-04-20,2004,4,April,2,20
247,2005-03-02,2005,3,March,1,2
248,2003-04-11,2003,4,April,2,11
249,2003-08-13,2003,8,August,3,13
250,2003-10-08,2003,10,October,4,8
251,2005-03-28,2005,3,March,1,28
252,2003-04-21,2003,4,April,2,21
